airport_depart,airport_arrive,airline,num_layovers
LGA,MIA,American Airlines,0
LGA,ORD,American Airlines,0
LGA,ORF,American Airlines,0
LGA,PBI,American Airlines,0
LGA,PHL,American Airlines,0
LGA,PIT,American Airlines,0
LGA,RDU,American Airlines,0
LGA,RIC,American Airlines,0
LGA,ROA,American Airlines,0
LGA,SDF,American Airlines,0
LGA,STL,American Airlines,0
LGA,TYS,American Airlines,0
LGA,XNA,American Airlines,0
LGB,PDX,American Airlines,0
LGB,PHX,American Airlines,0
LGB,SEA,American Airlines,0
LIH,LAX,American Airlines,0
LIH,OAK,American Airlines,0
LIH,PHX,American Airlines,0
LIH,SJC,American Airlines,0
LIT,CLT,American Airlines,0
LIT,DCA,American Airlines,0
LIT,DFW,American Airlines,0
LIT,LGA,American Airlines,0
LIT,ORD,American Airlines,0
LRD,DFW,American Airlines,0
LSE,ORD,American Airlines,0
LYH,CLT,American Airlines,0
MAF,DFW,American Airlines,0
MCI,CLT,American Airlines,0
MCI,DCA,American Airlines,0
MCI,DFW,American Airlines,0
MCI,ORD,American Airlines,0
MCI,PHL,American Airlines,0
MCI,PHX,American Airlines,0
MCI,SEA,American Airlines,0
MCO,CLT,American Airlines,0
MCO,DCA,American Airlines,0
MCO,DFW,American Airlines,0
MCO,JFK,American Airlines,0
MCO,LAX,American Airlines,0
MCO,MIA,American Airlines,0
MCO,ORD,American Airlines,0
MCO,PHL,American Airlines,0
MCO,PHX,American Airlines,0
MCO,SAN,American Airlines,0
MCO,SEA,American Airlines,0
MDT,BOS,American Airlines,0
MDT,CLT,American Airlines,0
MDT,ORD,American Airlines,0
MDT,PHL,American Airlines,0
MEM,CLT,American Airlines,0
MEM,DCA,American Airlines,0
MEM,DFW,American Airlines,0
MEM,MIA,American Airlines,0
MEM,ORD,American Airlines,0
MFE,DFW,American Airlines,0
MFR,LAX,American Airlines,0
MGM,CLT,American Airlines,0
MGM,DFW,American Airlines,0
MHK,DFW,American Airlines,0
MHK,ORD,American Airlines,0
MHT,CLT,American Airlines,0
MHT,DCA,American Airlines,0
MHT,PHL,American Airlines,0
MIA,ATL,American Airlines,0
MIA,BDL,American Airlines,0
MIA,BHM,American Airlines,0
MIA,BNA,American Airlines,0
MIA,BOS,American Airlines,0
MIA,BWI,American Airlines,0
MIA,CHS,American Airlines,0
MIA,CLE,American Airlines,0
MIA,CLT,American Airlines,0
MIA,CMH,American Airlines,0
MIA,CVG,American Airlines,0
MIA,DCA,American Airlines,0
MIA,DEN,American Airlines,0
MIA,DFW,American Airlines,0
MIA,DTW,American Airlines,0
MIA,EWR,American Airlines,0
MIA,EYW,American Airlines,0
MIA,GNV,American Airlines,0
MIA,GSO,American Airlines,0
MIA,IAD,American Airlines,0
MIA,IAH,American Airlines,0
MIA,IND,American Airlines,0
MIA,JAX,American Airlines,0
MIA,JFK,American Airlines,0
MIA,LAS,American Airlines,0
MIA,LAX,American Airlines,0
MIA,LGA,American Airlines,0
MIA,MCO,American Airlines,0
MIA,MEM,American Airlines,0
MIA,MSP,American Airlines,0
MIA,MSY,American Airlines,0
MIA,ORD,American Airlines,0
MIA,ORF,American Airlines,0
MIA,PHL,American Airlines,0
MIA,PHX,American Airlines,0
MIA,PIT,American Airlines,0
MIA,PNS,American Airlines,0
MIA,RDU,American Airlines,0
MIA,RIC,American Airlines,0
MIA,SAN,American Airlines,0
MIA,SDF,American Airlines,0
MIA,SEA,American Airlines,0
MIA,SFO,American Airlines,0
MIA,STL,American Airlines,0
MIA,STT,American Airlines,0
MIA,STX,American Airlines,0
MIA,TLH,American Airlines,0
MIA,TPA,American Airlines,0
MIA,TUL,American Airlines,0
MKE,CLT,American Airlines,0
MKE,DFW,American Airlines,0
MKE,ORD,American Airlines,0
MKE,PHL,American Airlines,0
MKE,PHX,American Airlines,0
MLB,CLT,American Airlines,0
MLI,DFW,American Airlines,0
MLI,ORD,American Airlines,0
MLU,DFW,American Airlines,0
MMH,LAX,American Airlines,0
MOB,CLT,American Airlines,0
MOB,DFW,American Airlines,0
MQT,ORD,American Airlines,0
MRY,LAX,American Airlines,0
MRY,PHX,American Airlines,0
MSN,DFW,American Airlines,0
MSN,ORD,American Airlines,0
MSP,CLT,American Airlines,0
MSP,DCA,American Airlines,0
MSP,DFW,American Airlines,0
MSP,MIA,American Airlines,0
MSP,ORD,American Airlines,0
MSP,PHL,American Airlines,0
MSP,PHX,American Airlines,0
MSY,AUS,American Airlines,0
MSY,CLT,American Airlines,0
MSY,DCA,American Airlines,0
MSY,DFW,American Airlines,0
MSY,MIA,American Airlines,0
MSY,ORD,American Airlines,0
MSY,PHL,American Airlines,0
MYR,CLT,American Airlines,0
MYR,DCA,American Airlines,0
MYR,PHL,American Airlines,0
OAJ,CLT,American Airlines,0
OAJ,DCA,American Airlines,0
OAK,HNL,American Airlines,0
OAK,KOA,American Airlines,0
OAK,LIH,American Airlines,0
OAK,OGG,American Airlines,0
OAK,PDX,American Airlines,0
OAK,PHX,American Airlines,0
OAK,SEA,American Airlines,0
OGG,DFW,American Airlines,0
OGG,LAX,American Airlines,0
OGG,OAK,American Airlines,0
OGG,PHX,American Airlines,0
OGG,SJC,American Airlines,0
OGG,SMF,American Airlines,0
OKC,DFW,American Airlines,0
OKC,LAX,American Airlines,0
OKC,ORD,American Airlines,0
OMA,CLT,American Airlines,0
OMA,DCA,American Airlines,0
OMA,DFW,American Airlines,0
OMA,ORD,American Airlines,0
OMA,PHX,American Airlines,0
ONT,DFW,American Airlines,0
ONT,PDX,American Airlines,0
ONT,PHX,American Airlines,0
ONT,SEA,American Airlines,0
ORD,ABQ,American Airlines,0
ORD,ALO,American Airlines,0
ORD,ART,American Airlines,0
ORD,ATL,American Airlines,0
ORD,AUS,American Airlines,0
ORD,AZO,American Airlines,0
ORD,BDL,American Airlines,0
ORD,BMI,American Airlines,0
ORD,BNA,American Airlines,0
ORD,BOS,American Airlines,0
ORD,BUF,American Airlines,0
ORD,BWI,American Airlines,0
ORD,CHA,American Airlines,0
ORD,CHO,American Airlines,0
ORD,CID,American Airlines,0
ORD,CLE,American Airlines,0
ORD,CLT,American Airlines,0
ORD,CMH,American Airlines,0
ORD,CMI,American Airlines,0
ORD,COU,American Airlines,0
ORD,CVG,American Airlines,0
ORD,CWA,American Airlines,0
ORD,DAY,American Airlines,0
ORD,DBQ,American Airlines,0
ORD,DCA,American Airlines,0
ORD,DEN,American Airlines,0
ORD,DFW,American Airlines,0
ORD,DSM,American Airlines,0
ORD,DTW,American Airlines,0
ORD,ELP,American Airlines,0
ORD,EVV,American Airlines,0
ORD,EWR,American Airlines,0
ORD,FAR,American Airlines,0
ORD,FLL,American Airlines,0
ORD,FNT,American Airlines,0
ORD,FSD,American Airlines,0
ORD,FWA,American Airlines,0
ORD,GRB,American Airlines,0
ORD,GRR,American Airlines,0
ORD,HPN,American Airlines,0
ORD,HSV,American Airlines,0
ORD,IAH,American Airlines,0
ORD,ICT,American Airlines,0
ORD,IND,American Airlines,0
ORD,JAX,American Airlines,0
ORD,JFK,American Airlines,0
ORD,LAS,American Airlines,0
ORD,LAX,American Airlines,0
ORD,LEX,American Airlines,0
ORD,LGA,American Airlines,0
ORD,LIT,American Airlines,0
ORD,LSE,American Airlines,0
ORD,MCI,American Airlines,0
ORD,MCO,American Airlines,0
ORD,MDT,American Airlines,0
ORD,MEM,American Airlines,0
ORD,MHK,American Airlines,0
ORD,MIA,American Airlines,0
ORD,MKE,American Airlines,0
ORD,MLI,American Airlines,0
ORD,MQT,American Airlines,0
ORD,MSN,American Airlines,0
ORD,MSP,American Airlines,0
ORD,MSY,American Airlines,0
ORD,OKC,American Airlines,0
ORD,OMA,American Airlines,0
ORD,PBI,American Airlines,0
ORD,PDX,American Airlines,0
ORD,PHL,American Airlines,0
ORD,PHX,American Airlines,0
ORD,PIA,American Airlines,0
ORD,PIT,American Airlines,0
ORD,PSP,American Airlines,0
ORD,RDU,American Airlines,0
ORD,RIC,American Airlines,0
ORD,RNO,American Airlines,0
ORD,ROC,American Airlines,0
ORD,RST,American Airlines,0
ORD,RSW,American Airlines,0
ORD,SAN,American Airlines,0
ORD,SAT,American Airlines,0
ORD,SDF,American Airlines,0
ORD,SEA,American Airlines,0
ORD,SFO,American Airlines,0
ORD,SGF,American Airlines,0
ORD,SJC,American Airlines,0
ORD,SLC,American Airlines,0
ORD,SNA,American Airlines,0
ORD,STL,American Airlines,0
ORD,SUX,American Airlines,0
ORD,SYR,American Airlines,0
ORD,TOL,American Airlines,0
ORD,TPA,American Airlines,0
ORD,TUL,American Airlines,0
ORD,TUS,American Airlines,0
ORD,TVC,American Airlines,0
ORD,TYS,American Airlines,0
ORD,XNA,American Airlines,0
ORF,CLT,American Airlines,0
ORF,DCA,American Airlines,0
ORF,DFW,American Airlines,0
ORF,JFK,American Airlines,0
ORF,LGA,American Airlines,0
ORF,MIA,American Airlines,0
ORF,PHL,American Airlines,0
PBI,CLT,American Airlines,0
PBI,DCA,American Airlines,0
PBI,DFW,American Airlines,0
PBI,LAX,American Airlines,0
PBI,LGA,American Airlines,0
PBI,ORD,American Airlines,0
PBI,PHL,American Airlines,0
PDX,BOS,American Airlines,0
PDX,BUR,American Airlines,0
PDX,CLT,American Airlines,0
PDX,DCA,American Airlines,0
PDX,DFW,American Airlines,0
PDX,LAX,American Airlines,0
PDX,LGB,American Airlines,0
PDX,OAK,American Airlines,0
PDX,ONT,American Airlines,0
PDX,ORD,American Airlines,0
PDX,PHL,American Airlines,0
PDX,PHX,American Airlines,0
PDX,SAN,American Airlines,0
PDX,SFO,American Airlines,0
PDX,SJC,American Airlines,0
PDX,SNA,American Airlines,0
PGV,CLT,American Airlines,0
PHF,CLT,American Airlines,0
PHF,PHL,American Airlines,0
PHL,ABE,American Airlines,0
PHL,ALB,American Airlines,0
PHL,ART,American Airlines,0
PHL,ATL,American Airlines,0
PHL,AUS,American Airlines,0
PHL,AVP,American Airlines,0
PHL,BDL,American Airlines,0
PHL,BGM,American Airlines,0
PHL,BGR,American Airlines,0
PHL,BHM,American Airlines,0
PHL,BNA,American Airlines,0
PHL,BOS,American Airlines,0
PHL,BTV,American Airlines,0
PHL,BUF,American Airlines,0
PHL,BWI,American Airlines,0
PHL,CAE,American Airlines,0
PHL,CAK,American Airlines,0
PHL,CHO,American Airlines,0
PHL,CHS,American Airlines,0
PHL,CLE,American Airlines,0
PHL,CLT,American Airlines,0
PHL,CMH,American Airlines,0
PHL,CVG,American Airlines,0
PHL,DAY,American Airlines,0
PHL,DCA,American Airlines,0
PHL,DEN,American Airlines,0
PHL,DFW,American Airlines,0
PHL,DTW,American Airlines,0
PHL,ELM,American Airlines,0
PHL,ERI,American Airlines,0
PHL,EWR,American Airlines,0
PHL,FLL,American Airlines,0
PHL,GSO,American Airlines,0
PHL,GSP,American Airlines,0
PHL,HPN,American Airlines,0
PHL,HVN,American Airlines,0
PHL,IAH,American Airlines,0
PHL,ILM,American Airlines,0
PHL,IND,American Airlines,0
PHL,IPT,American Airlines,0
PHL,ISP,American Airlines,0
PHL,ITH,American Airlines,0
PHL,JAX,American Airlines,0
PHL,LAS,American Airlines,0
PHL,LAX,American Airlines,0
PHL,LGA,American Airlines,0
PHL,MCI,American Airlines,0
PHL,MCO,American Airlines,0
PHL,MDT,American Airlines,0
PHL,MHT,American Airlines,0
PHL,MIA,American Airlines,0
PHL,MKE,American Airlines,0
PHL,MSP,American Airlines,0
PHL,MSY,American Airlines,0
PHL,MYR,American Airlines,0
PHL,ORD,American Airlines,0
PHL,ORF,American Airlines,0
PHL,PBI,American Airlines,0
PHL,PDX,American Airlines,0
PHL,PHF,American Airlines,0
PHL,PHX,American Airlines,0
PHL,PIT,American Airlines,0
PHL,PVD,American Airlines,0
PHL,PWM,American Airlines,0
PHL,RDU,American Airlines,0
PHL,RIC,American Airlines,0
PHL,ROA,American Airlines,0
PHL,ROC,American Airlines,0
PHL,RSW,American Airlines,0
PHL,SAN,American Airlines,0
PHL,SAT,American Airlines,0
PHL,SAV,American Airlines,0
PHL,SBY,American Airlines,0
PHL,SCE,American Airlines,0
PHL,SDF,American Airlines,0
PHL,SEA,American Airlines,0
PHL,SFO,American Airlines,0
PHL,SLC,American Airlines,0
PHL,STL,American Airlines,0
PHL,STT,American Airlines,0
PHL,SWF,American Airlines,0
PHL,SYR,American Airlines,0
PHL,TPA,American Airlines,0
PHL,TYS,American Airlines,0
PHX,ABQ,American Airlines,0
PHX,ANC,American Airlines,0
PHX,ATL,American Airlines,0
PHX,AUS,American Airlines,0
PHX,BFL,American Airlines,0
PHX,BOI,American Airlines,0
PHX,BOS,American Airlines,0
PHX,BUR,American Airlines,0
PHX,BWI,American Airlines,0
PHX,CLT,American Airlines,0
PHX,CMH,American Airlines,0
PHX,DCA,American Airlines,0
PHX,DEN,American Airlines,0
PHX,DFW,American Airlines,0
PHX,DRO,American Airlines,0
PHX,DSM,American Airlines,0
PHX,DTW,American Airlines,0
PHX,ELP,American Airlines,0
PHX,EWR,American Airlines,0
PHX,FAT,American Airlines,0
PHX,FLG,American Airlines,0
PHX,FLL,American Airlines,0
PHX,GEG,American Airlines,0
PHX,GJT,American Airlines,0
PHX,HNL,American Airlines,0
PHX,IAH,American Airlines,0
PHX,IND,American Airlines,0
PHX,JFK,American Airlines,0
PHX,KOA,American Airlines,0
PHX,LAS,American Airlines,0
PHX,LAX,American Airlines,0
PHX,LGB,American Airlines,0
PHX,LIH,American Airlines,0
PHX,MCI,American Airlines,0
PHX,MCO,American Airlines,0
PHX,MIA,American Airlines,0
PHX,MKE,American Airlines,0
PHX,MRY,American Airlines,0
PHX,MSP,American Airlines,0
PHX,OAK,American Airlines,0
PHX,OGG,American Airlines,0
PHX,OMA,American Airlines,0
PHX,ONT,American Airlines,0
PHX,ORD,American Airlines,0
PHX,PDX,American Airlines,0
PHX,PHL,American Airlines,0
PHX,PIT,American Airlines,0
PHX,PSP,American Airlines,0
PHX,RNO,American Airlines,0
PHX,SAN,American Airlines,0
PHX,SAT,American Airlines,0
PHX,SBA,American Airlines,0
PHX,SBP,American Airlines,0
PHX,SEA,American Airlines,0
PHX,SFO,American Airlines,0
PHX,SJC,American Airlines,0
PHX,SLC,American Airlines,0
PHX,SMF,American Airlines,0
PHX,SNA,American Airlines,0
PHX,STL,American Airlines,0
PHX,TPA,American Airlines,0
PHX,TUS,American Airlines,0
PHX,YUM,American Airlines,0
PIA,DFW,American Airlines,0
PIA,ORD,American Airlines,0
PIT,BDL,American Airlines,0
PIT,BOS,American Airlines,0
PIT,CLT,American Airlines,0
PIT,DCA,American Airlines,0
PIT,DFW,American Airlines,0
PIT,JFK,American Airlines,0
PIT,LAX,American Airlines,0
PIT,LGA,American Airlines,0
PIT,MIA,American Airlines,0
PIT,ORD,American Airlines,0
PIT,PHL,American Airlines,0
PIT,PHX,American Airlines,0
PIT,RDU,American Airlines,0
PIT,STL,American Airlines,0
PNS,CLT,American Airlines,0
PNS,DCA,American Airlines,0
PNS,DFW,American Airlines,0
PNS,MIA,American Airlines,0
PSP,DFW,American Airlines,0
PSP,ORD,American Airlines,0
PSP,PHX,American Airlines,0
PSP,SFO,American Airlines,0
PVD,CLT,American Airlines,0
PVD,DCA,American Airlines,0
PVD,PHL,American Airlines,0
RAP,DFW,American Airlines,0
RDM,LAX,American Airlines,0
RDU,CLT,American Airlines,0
RDU,DCA,American Airlines,0
RDU,DFW,American Airlines,0
RDU,JFK,American Airlines,0
RDU,LAX,American Airlines,0
RDU,LGA,American Airlines,0
RDU,MIA,American Airlines,0
RDU,ORD,American Airlines,0
RDU,PHL,American Airlines,0
RDU,PIT,American Airlines,0
RIC,BOS,American Airlines,0
RIC,CLT,American Airlines,0
RIC,DFW,American Airlines,0
RIC,LGA,American Airlines,0
RIC,MIA,American Airlines,0
RIC,ORD,American Airlines,0
RIC,PHL,American Airlines,0
RNO,DFW,American Airlines,0
RNO,LAX,American Airlines,0
RNO,ORD,American Airlines,0
RNO,PHX,American Airlines,0
ROA,CLT,American Airlines,0
ROA,LGA,American Airlines,0
ROA,PHL,American Airlines,0
ROC,BOS,American Airlines,0
ROC,CLT,American Airlines,0
ROC,DCA,American Airlines,0
ROC,ORD,American Airlines,0
ROC,PHL,American Airlines,0
ROW,DFW,American Airlines,0
RST,ORD,American Airlines,0
RSW,CLT,American Airlines,0
RSW,DCA,American Airlines,0
RSW,DFW,American Airlines,0
RSW,ORD,American Airlines,0
RSW,PHL,American Airlines,0
SAF,DFW,American Airlines,0
SAF,LAX,American Airlines,0
SAN,BOS,American Airlines,0
SAN,CLT,American Airlines,0
SAN,DCA,American Airlines,0
SAN,DFW,American Airlines,0
SAN,JFK,American Airlines,0
SAN,LAX,American Airlines,0
SAN,MCO,American Airlines,0
SAN,MIA,American Airlines,0
SAN,ORD,American Airlines,0
SAN,PDX,American Airlines,0
SAN,PHL,American Airlines,0
SAN,PHX,American Airlines,0
SAN,SEA,American Airlines,0
SAN,STS,American Airlines,0
SAT,CLT,American Airlines,0
SAT,DFW,American Airlines,0
SAT,ORD,American Airlines,0
SAT,PHL,American Airlines,0
SAT,PHX,American Airlines,0
SAV,CLT,American Airlines,0
SAV,DCA,American Airlines,0
SAV,DFW,American Airlines,0
SAV,PHL,American Airlines,0
SBA,PHX,American Airlines,0
SBP,PHX,American Airlines,0
SBY,CLT,American Airlines,0
SBY,PHL,American Airlines,0
SCE,PHL,American Airlines,0
SDF,CLT,American Airlines,0
SDF,DCA,American Airlines,0
SDF,DFW,American Airlines,0
SDF,LGA,American Airlines,0
SDF,MIA,American Airlines,0
SDF,ORD,American Airlines,0
SDF,PHL,American Airlines,0
SEA,BOS,American Airlines,0
SEA,BUR,American Airlines,0
SEA,CLT,American Airlines,0
SEA,DEN,American Airlines,0
SEA,DFW,American Airlines,0
SEA,EWR,American Airlines,0
SEA,JFK,American Airlines,0
SEA,KTN,American Airlines,0
SEA,LAX,American Airlines,0
SEA,LGB,American Airlines,0
SEA,MCI,American Airlines,0
SEA,MCO,American Airlines,0
SEA,MIA,American Airlines,0
SEA,OAK,American Airlines,0
SEA,ONT,American Airlines,0
SEA,ORD,American Airlines,0
SEA,PHL,American Airlines,0
SEA,PHX,American Airlines,0
SEA,SAN,American Airlines,0
SEA,SFO,American Airlines,0
SEA,SJC,American Airlines,0
SEA,SMF,American Airlines,0
SEA,SNA,American Airlines,0
SEA,STL,American Airlines,0
SFO,CLT,American Airlines,0
SFO,DFW,American Airlines,0
SFO,JFK,American Airlines,0
SFO,LAX,American Airlines,0
SFO,MIA,American Airlines,0
SFO,ORD,American Airlines,0
SFO,PDX,American Airlines,0
SFO,PHL,American Airlines,0
SFO,PHX,American Airlines,0
SFO,PSP,American Airlines,0
SFO,SEA,American Airlines,0
SGF,DFW,American Airlines,0
SGF,ORD,American Airlines,0
SHV,DFW,American Airlines,0
SJC,DFW,American Airlines,0
SJC,HNL,American Airlines,0
SJC,KOA,American Airlines,0
SJC,LAX,American Airlines,0
SJC,LIH,American Airlines,0
SJC,OGG,American Airlines,0
SJC,ORD,American Airlines,0
SJC,PDX,American Airlines,0
SJC,PHX,American Airlines,0
SJC,SEA,American Airlines,0
SJT,DFW,American Airlines,0
SLC,CLT,American Airlines,0
SLC,DFW,American Airlines,0
SLC,LAX,American Airlines,0
SLC,ORD,American Airlines,0
SLC,PHL,American Airlines,0
SLC,PHX,American Airlines,0
SMF,CLT,American Airlines,0
SMF,DFW,American Airlines,0
SMF,LAX,American Airlines,0
SMF,OGG,American Airlines,0
SMF,PHX,American Airlines,0
SMF,SEA,American Airlines,0
SNA,DFW,American Airlines,0
SNA,ORD,American Airlines,0
SNA,PDX,American Airlines,0
SNA,PHX,American Airlines,0
SNA,SEA,American Airlines,0
SPS,DFW,American Airlines,0
SRQ,CLT,American Airlines,0
SRQ,DCA,American Airlines,0
STL,CLT,American Airlines,0
STL,DCA,American Airlines,0
STL,DFW,American Airlines,0
STL,LAX,American Airlines,0
STL,LGA,American Airlines,0
STL,MIA,American Airlines,0
STL,ORD,American Airlines,0
STL,PHL,American Airlines,0
STL,PHX,American Airlines,0
STL,PIT,American Airlines,0
STL,SEA,American Airlines,0
STS,LAX,American Airlines,0
STS,SAN,American Airlines,0
STT,CLT,American Airlines,0
STT,JFK,American Airlines,0
STT,MIA,American Airlines,0
STT,PHL,American Airlines,0
STX,MIA,American Airlines,0
SUX,ORD,American Airlines,0
SWF,PHL,American Airlines,0
SYR,BOS,American Airlines,0
SYR,CLT,American Airlines,0
SYR,DCA,American Airlines,0
SYR,ORD,American Airlines,0
SYR,PHL,American Airlines,0
TLH,CLT,American Airlines,0
TLH,DCA,American Airlines,0
TLH,DFW,American Airlines,0
TLH,MIA,American Airlines,0
TOL,ORD,American Airlines,0
TPA,CLT,American Airlines,0
TPA,DCA,American Airlines,0
TPA,DFW,American Airlines,0
TPA,JFK,American Airlines,0
TPA,MIA,American Airlines,0
TPA,ORD,American Airlines,0
TPA,PHL,American Airlines,0
TPA,PHX,American Airlines,0
TRI,CLT,American Airlines,0
TUL,DFW,American Airlines,0
TUL,MIA,American Airlines,0
TUL,ORD,American Airlines,0
TUS,DFW,American Airlines,0
TUS,LAX,American Airlines,0
TUS,ORD,American Airlines,0
TUS,PHX,American Airlines,0
TVC,ORD,American Airlines,0
TXK,DFW,American Airlines,0
TYR,DFW,American Airlines,0
TYS,CLT,American Airlines,0
TYS,DCA,American Airlines,0
TYS,DFW,American Airlines,0
TYS,LGA,American Airlines,0
TYS,ORD,American Airlines,0
TYS,PHL,American Airlines,0
VPS,CLT,American Airlines,0
VPS,DCA,American Airlines,0
VPS,DFW,American Airlines,0
XNA,CLT,American Airlines,0
XNA,DFW,American Airlines,0
XNA,LAX,American Airlines,0
XNA,LGA,American Airlines,0
XNA,ORD,American Airlines,0
YUM,PHX,American Airlines,0
ATL,DEN,Air Canada,0
DEN,ATL,Air Canada,0
DEN,MSY,Air Canada,0
EWR,MSY,Air Canada,0
IAD,MSY,Air Canada,0
IAH,MSY,Air Canada,0
MSY,DEN,Air Canada,0
MSY,EWR,Air Canada,0
MSY,IAD,Air Canada,0
MSY,IAH,Air Canada,0
ABE,ATL,Air France,0
ABQ,ATL,Air France,0
ABY,ATL,Air France,0
AEX,ATL,Air France,0
AGS,ATL,Air France,0
ALB,ATL,Air France,0
ATL,ABE,Air France,0
ATL,ABQ,Air France,0
ATL,ABY,Air France,0
ATL,AEX,Air France,0
ATL,AGS,Air France,0
ATL,ALB,Air France,0
ATL,ATW,Air France,0
ATL,AUS,Air France,0
ATL,AVL,Air France,0
ATL,AVP,Air France,0
ATL,BDL,Air France,0
ATL,BHM,Air France,0
ATL,BMI,Air France,0
ATL,BNA,Air France,0
ATL,BOS,Air France,0
ATL,BQK,Air France,0
ATL,BTR,Air France,0
ATL,BTV,Air France,0
ATL,BUF,Air France,0
ATL,BWI,Air France,0
ATL,CAE,Air France,0
ATL,CAK,Air France,0
ATL,CHO,Air France,0
ATL,CHS,Air France,0
ATL,CLE,Air France,0
ATL,CMH,Air France,0
ATL,COS,Air France,0
ATL,CSG,Air France,0
ATL,DAB,Air France,0
ATL,DAL,Air France,0
ATL,DAY,Air France,0
ATL,DCA,Air France,0
ATL,DHN,Air France,0
ATL,DSM,Air France,0
ATL,DTW,Air France,0
ATL,ECP,Air France,0
ATL,ELP,Air France,0
ATL,EWN,Air France,0
ATL,EWR,Air France,0
ATL,EYW,Air France,0
ATL,FAY,Air France,0
ATL,FLL,Air France,0
ATL,FNT,Air France,0
ATL,FSM,Air France,0
ATL,GNV,Air France,0
ATL,GPT,Air France,0
ATL,GRB,Air France,0
ATL,GRK,Air France,0
ATL,GRR,Air France,0
ATL,GTR,Air France,0
ATL,HPN,Air France,0
ATL,HSV,Air France,0
ATL,IAD,Air France,0
ATL,IAH,Air France,0
ATL,ICT,Air France,0
ATL,ILM,Air France,0
ATL,IND,Air France,0
ATL,JAN,Air France,0
ATL,JAX,Air France,0
ATL,JFK,Air France,0
ATL,LAS,Air France,0
ATL,LAX,Air France,0
ATL,LFT,Air France,0
ATL,LGA,Air France,0
ATL,LIT,Air France,0
ATL,MCI,Air France,0
ATL,MCO,Air France,0
ATL,MDT,Air France,0
ATL,MDW,Air France,0
ATL,MEM,Air France,0
ATL,MGM,Air France,0
ATL,MHT,Air France,0
ATL,MKE,Air France,0
ATL,MLB,Air France,0
ATL,MLI,Air France,0
ATL,MLU,Air France,0
ATL,MOB,Air France,0
ATL,MSN,Air France,0
ATL,MSY,Air France,0
ATL,MYR,Air France,0
ATL,OAJ,Air France,0
ATL,OKC,Air France,0
ATL,OMA,Air France,0
ATL,ORF,Air France,0
ATL,PBI,Air France,0
ATL,PDX,Air France,0
ATL,PHF,Air France,0
ATL,PIA,Air France,0
ATL,PIT,Air France,0
ATL,PNS,Air France,0
ATL,PVD,Air France,0
ATL,PWM,Air France,0
ATL,RDU,Air France,0
ATL,RIC,Air France,0
ATL,ROC,Air France,0
ATL,RSW,Air France,0
ATL,SAN,Air France,0
ATL,SAT,Air France,0
ATL,SAV,Air France,0
ATL,SBN,Air France,0
ATL,SDF,Air France,0
ATL,SEA,Air France,0
ATL,SFO,Air France,0
ATL,SGF,Air France,0
ATL,SHV,Air France,0
ATL,SLC,Air France,0
ATL,SMF,Air France,0
ATL,SNA,Air France,0
ATL,SRQ,Air France,0
ATL,STL,Air France,0
ATL,TLH,Air France,0
ATL,TPA,Air France,0
ATL,TRI,Air France,0
ATL,TUL,Air France,0
ATL,TUS,Air France,0
ATL,VLD,Air France,0
ATL,VPS,Air France,0
ATW,ATL,Air France,0
AUS,ATL,Air France,0
AVL,ATL,Air France,0
BDL,ATL,Air France,0
BHM,ATL,Air France,0
BMI,ATL,Air France,0
BNA,ATL,Air France,0
BOS,ATL,Air France,0
BQK,ATL,Air France,0
BTR,ATL,Air France,0
BUF,ATL,Air France,0
BWI,ATL,Air France,0
CAE,ATL,Air France,0
CAK,ATL,Air France,0
CHO,ATL,Air France,0
CHS,ATL,Air France,0
CID,ATL,Air France,0
CLE,ATL,Air France,0
CMH,ATL,Air France,0
CSG,ATL,Air France,0
DAB,ATL,Air France,0
DAL,ATL,Air France,0
DAY,ATL,Air France,0
DCA,ATL,Air France,0
DHN,ATL,Air France,0
DSM,ATL,Air France,0
DTW,ATL,Air France,0
ECP,ATL,Air France,0
ELP,ATL,Air France,0
EWN,ATL,Air France,0
EWR,ATL,Air France,0
EYW,ATL,Air France,0
FAY,ATL,Air France,0
FLL,ATL,Air France,0
FNT,ATL,Air France,0
FSM,ATL,Air France,0
GNV,ATL,Air France,0
GPT,ATL,Air France,0
GRB,ATL,Air France,0
GRK,ATL,Air France,0
GRR,ATL,Air France,0
GTR,ATL,Air France,0
HPN,ATL,Air France,0
HSV,ATL,Air France,0
IAD,ATL,Air France,0
IAH,ATL,Air France,0
ICT,ATL,Air France,0
ILM,ATL,Air France,0
IND,ATL,Air France,0
JAN,ATL,Air France,0
JAX,ATL,Air France,0
JFK,ATL,Air France,0
LAS,ATL,Air France,0
LAX,ATL,Air France,0
LAX,MSP,Air France,0
LFT,ATL,Air France,0
LGA,ATL,Air France,0
LIT,ATL,Air France,0
MCI,ATL,Air France,0
MCO,ATL,Air France,0
MDW,ATL,Air France,0
MEM,ATL,Air France,0
MGM,ATL,Air France,0
MKE,ATL,Air France,0
MLB,ATL,Air France,0
MLI,ATL,Air France,0
MLU,ATL,Air France,0
MOB,ATL,Air France,0
MSN,ATL,Air France,0
MSP,LAX,Air France,0
MSP,SEA,Air France,0
MSP,SFO,Air France,0
MSY,ATL,Air France,0
MYR,ATL,Air France,0
OAJ,ATL,Air France,0
OKC,ATL,Air France,0
OMA,ATL,Air France,0
ORF,ATL,Air France,0
PBI,ATL,Air France,0
PDX,ATL,Air France,0
